GO #,GO name,change in expression: alarm pher : control
GO:0005488,binding,up
GO:0046903,secretion,up
GO:0007016,cytoskeletal anchoring,up
GO:0006893,Golgi to plasma membrane transport,up
GO:0009253,peptidoglycan catabolic process,up
GO:0000270,peptidoglycan metabolic process,up
GO:0007272,ensheathment of neurons,up
GO:0042304,regulation of fatty acid biosynthetic process,up
GO:0043570,maintenance of DNA repeat elements,up
GO:0007000,nucleolus organization and biogenesis,up
GO:0001508,regulation of action potential,up
GO:0017126,nucleologenesis,up
GO:0007496,anterior midgut development,up
GO:0015718,monocarboxylic acid transport,up
GO:0007215,glutamate signaling pathway,up
GO:0008366,axon ensheathment,up
GO:0019217,regulation of fatty acid metabolic process,up
GO:0015734,taurine transport,up
GO:0048491,retrograde synaptic vesicle transport,up
GO:0007216,metabotropic glutamate receptor signaling pathway,up
GO:0008084,imaginal disc growth factor activity,up
GO:0015183,L-aspartate transmembrane transporter activity,up
GO:0008432,JUN kinase binding,up
GO:0004170,dUTP diphosphatase activity,up
GO:0016018,cyclosporin A binding,up
GO:0004637,phosphoribosylamine-glycine ligase activity,up
GO:0008269,JAK pathway signal transduction adaptor activity,up
GO:0005368,taurine transmembrane transporter activity,up
GO:0004641,phosphoribosylformylglycinamidine cyclo-ligase activity,up
GO:0008449,N-acetylglucosamine-6-sulfatase activity,up
GO:0016882,cyclo-ligase activity,up
GO:0004396,hexokinase activity,up
GO:0005369,taurine:sodium symporter activity,up
GO:0003937,IMP cyclohydrolase activity,up
GO:0004332,fructose-bisphosphate aldolase activity,up
GO:0004516,nicotinate phosphoribosyltransferase activity,up
GO:0047429,nucleoside-triphosphate diphosphatase activity,up
GO:0004491,methylmalonate-semialdehyde dehydrogenase (acylating) activity,up
GO:0004644,phosphoribosylglycinamide formyltransferase activity,up
GO:0004689,phosphorylase kinase activity,up
GO:0004643,phosphoribosylaminoimidazolecarboxamide formyltransferase activity,up
GO:0046365,monosaccharide catabolic process,up
GO:0006007,glucose catabolic process,up
GO:0046164,alcohol catabolic process,up
GO:0019320,hexose catabolic process,up
GO:0016814,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines",up
GO:0006006,glucose metabolic process,up
GO:0016044,membrane organization and biogenesis,up
GO:0008066,glutamate receptor activity,up
GO:0016079,synaptic vesicle exocytosis,up
GO:0044275,cellular carbohydrate catabolic process,up
GO:0051234,establishment of localization,up
GO:0003755,peptidyl-prolyl cis-trans isomerase activity,up
GO:0007498,mesoderm development,up
GO:0008586,imaginal disc-derived wing vein morphogenesis,up
GO:0006066,alcohol metabolic process,up
GO:0046890,regulation of lipid biosynthetic process,up
GO:0006573,valine metabolic process,up
GO:0035321,maintenance of imaginal disc-derived wing hair orientation,up
GO:0048490,anterograde synaptic vesicle transport,up
GO:0019896,axon transport of mitochondrion,up
GO:0006301,postreplication repair,up
GO:0005975,carbohydrate metabolic process,up
GO:0016859,cis-trans isomerase activity,up
GO:0006887,exocytosis,up
GO:0015172,acidic amino acid transmembrane transporter activity,up
GO:0004686,eukaryotic elongation factor-2 kinase activity,up
GO:0008523,sodium-dependent multivitamin transmembrane transporter activity,up
GO:0004863,diacylglycerol-activated phospholipid-dependent protein kinase C inhibitor activity,up
GO:0008268,receptor signaling protein tyrosine kinase signaling protein activity,up
GO:0008426,protein kinase C inhibitor activity,up
GO:0008603,cAMP-dependent protein kinase regulator activity,up
GO:0030898,actin-dependent ATPase activity,up
GO:0008451,X-Pro aminopeptidase activity,up
GO:0005313,L-glutamate transmembrane transporter activity,up
GO:0015501,glutamate:sodium symporter activity,up
GO:0042834,peptidoglycan binding,up
GO:0005092,GDP-dissociation inhibitor activity,up
GO:0008475,procollagen-lysine 5-dioxygenase activity,up
GO:0009888,tissue development,up
GO:0051649,establishment of cellular localization,up
GO:0006810,transport,up
GO:0007294,germarium-derived oocyte fate determination,up
GO:0030706,germarium-derived oocyte differentiation,up
GO:0007592,protein-based cuticle development,up
GO:0040003,chitin-based cuticle development,up
GO:0051641,cellular localization,up
GO:0030716,oocyte fate determination,up
GO:0048731,system development,up
GO:0003777,microtubule motor activity,up
GO:0008291,acetylcholine metabolic process,up
GO:0003774,motor activity,up
GO:0009593,detection of chemical stimulus,up
GO:0007018,microtubule-based movement,up
GO:0042439,ethanolamine and derivative metabolic process,up
GO:0030705,cytoskeleton-dependent intracellular transport,up
GO:0016830,carbon-carbon lyase activity,up
GO:0035058,sensory cilium biogenesis,up
GO:0042384,cilium biogenesis,up
GO:0009628,response to abiotic stimulus,up
GO:0009605,response to external stimulus,up
GO:0006519,amino acid and derivative metabolic process,up
GO:0009308,amine metabolic process,up
GO:0016831,carboxy-lyase activity,up
GO:0006807,nitrogen compound metabolic process,up
GO:0004398,histidine decarboxylase activity,up
GO:0043621,protein self-association,up
GO:0017130,poly(rC) binding,up
GO:0004139,deoxyribose-phosphate aldolase activity,up
GO:0004102,choline O-acetyltransferase activity,up
GO:0004068,aspartate 1-decarboxylase activity,up
GO:0009310,amine catabolic process,up
GO:0044270,nitrogen compound catabolic process,up
GO:0042426,choline catabolic process,up
GO:0046113,nucleobase catabolic process,up
GO:0019795,nonprotein amino acid biosynthetic process,up
GO:0008292,acetylcholine biosynthetic process,up
GO:0019482,beta-alanine metabolic process,up
GO:0008090,retrograde axon cargo transport,up
GO:0050911,detection of chemical stimulus during sensory perception of smell,up
GO:0050907,detection of chemical stimulus during sensory perception,up
GO:0006212,uracil catabolic process,up
GO:0006208,pyrimidine base catabolic process,up
GO:0009594,detection of nutrient,up
GO:0019860,uracil metabolic process,up
GO:0019483,beta-alanine biosynthetic process,up
GO:0046683,response to organophosphorus,up
GO:0016407,acetyltransferase activity,up
GO:0007017,microtubule-based process,up
GO:0016829,lyase activity,up
GO:0009309,amine biosynthetic process,up
GO:0044271,nitrogen compound biosynthetic process,up
GO:0004351,glutamate decarboxylase activity,up
GO:0008569,minus-end-directed microtubule motor activity,up
GO:0016413,O-acetyltransferase activity,up
GO:0004596,peptide alpha-N-acetyltransferase activity,up
GO:0032837,distributive segregation,up
GO:0035087,"RNA interference, siRNA loading onto RISC",up
GO:0019794,nonprotein amino acid metabolic process,up
GO:0051607,defense response to virus,up
GO:0007010,cytoskeleton organization and biogenesis,up
GO:0030031,cell projection biogenesis,up
GO:0016232,HNK-1 sulfotransferase activity,up
GO:0045502,dynein binding,up
GO:0006996,organelle organization and biogenesis,up
GO:0046622,positive regulation of organ size,up
GO:0030422,"RNA interference, production of siRNA",up
GO:0009615,response to virus,up
GO:0007056,spindle assembly involved in female meiosis,up
GO:0006338,chromatin remodeling,up
GO:0009881,photoreceptor activity,up
GO:0005283,sodium:amino acid symporter activity,up
GO:0016832,aldehyde-lyase activity,up
GO:0005343,organic acid:sodium symporter activity,up
GO:0035082,axoneme biogenesis,up
GO:0007288,sperm axoneme assembly,up
GO:0009112,nucleobase metabolic process,up
GO:0000212,meiotic spindle organization and biogenesis,up
GO:0030423,"RNA interference, targeting of mRNA for destruction",up
GO:0000022,mitotic spindle elongation,up
GO:0035084,flagellum axoneme biogenesis,up
GO:0016330,second mitotic wave during compound eye morphogenesis,up
GO:0006206,pyrimidine base metabolic process,up
GO:0001578,microtubule bundle formation,up
GO:0042051,compound eye photoreceptor development,up
GO:0042462,eye photoreceptor cell development,up
GO:0004984,olfactory receptor activity,up
GO:0008594,photoreceptor cell morphogenesis,up
GO:0051231,spindle elongation,up
GO:0043064,flagellum organization and biogenesis,up
GO:0007100,mitotic centrosome separation,up
GO:0042219,amino acid derivative catabolic process,up
GO:0009296,flagellum biogenesis,up
GO:0044248,cellular catabolic process,up
GO:0042461,photoreceptor cell development,up
GO:0008415,acyltransferase activity,up
GO:0016747,"transferase activity, transferring groups other than amino-acyl groups",up
GO:0015179,L-amino acid transmembrane transporter activity,up
GO:0005328,neurotransmitter:sodium symporter activity,up
GO:0009056,catabolic process,up
GO:0043331,response to dsRNA,up
GO:0031050,dsRNA fragmentation,up
GO:0017085,response to insecticide,up
GO:0040018,positive regulation of body size,up
GO:0042136,neurotransmitter biosynthetic process,up
GO:0046907,intracellular transport,up
GO:0016568,chromatin modification,up
GO:0005416,cation:amino acid symporter activity,up
GO:0016746,"transferase activity, transferring acyl groups",up
GO:0042331,phototaxis,up
GO:0015849,organic acid transport,up
GO:0009453,energy taxis,up
GO:0046942,carboxylic acid transport,up
GO:0007632,visual behavior,up
GO:0051225,spindle assembly,up
GO:0009636,response to toxin,up
GO:0008088,axon cargo transport,up
GO:0016043,cellular component organization and biogenesis,up
GO:0016579,protein deubiquitination,up
GO:0004843,ubiquitin-specific protease activity,up
GO:0019783,small conjugating protein-specific protease activity,up
GO:0019932,second-messenger-mediated signaling,up
GO:0009586,rhodopsin mediated phototransduction,up
GO:0008086,light-activated voltage-gated calcium channel activity,up
GO:0008234,cysteine-type peptidase activity,up
GO:0009987,cellular process,up
GO:0004386,helicase activity,up
GO:0016059,deactivation of rhodopsin mediated signaling,up
GO:0009589,detection of UV,up
GO:0007604,"phototransduction, UV",up
GO:0051276,chromosome organization and biogenesis,up
GO:0007275,multicellular organismal development,up
GO:0015279,store-operated calcium channel activity,up
GO:0042799,histone lysine N-methyltransferase activity (H4-K20 specific),up
GO:0015631,tubulin binding,up
GO:0005245,voltage-gated calcium channel activity,up
GO:0030261,chromosome condensation,up
GO:0043687,post-translational protein modification,up
GO:0007349,cellularization,up
GO:0006508,proteolysis,up
GO:0007242,intracellular signaling cascade,up
GO:0009411,response to UV,up
GO:0019722,calcium-mediated signaling,up
GO:0007291,sperm individualization,up
GO:0032027,myosin light chain binding,up
GO:0043412,biopolymer modification,up
GO:0019538,protein metabolic process,up
GO:0051248,negative regulation of protein metabolic process,up
GO:0046425,regulation of JAK-STAT cascade,up
GO:0008632,apoptotic program,up
GO:0003824,catalytic activity,up
GO:0008277,regulation of G-protein coupled receptor protein signaling pathway,up
GO:0051179,localization,up
GO:0007001,chromosome organization and biogenesis (sensu Eukaryota),up
GO:0008017,microtubule binding,up
GO:0009966,regulation of signal transduction,up
GO:0006892,post-Golgi vesicle-mediated transport,up
GO:0051246,regulation of protein metabolic process,up
GO:0006464,protein modification process,up
GO:0008092,cytoskeletal protein binding,up
GO:0044267,cellular protein metabolic process,up
GO:0007611,learning and/or memory,up
GO:0009968,negative regulation of signal transduction,up
GO:0003678,DNA helicase activity,up
GO:0008170,N-methyltransferase activity,up
GO:0006512,ubiquitin cycle,up
GO:0016246,RNA interference,up
GO:0044260,cellular macromolecule metabolic process,up
GO:0007200,"G-protein signaling, coupled to IP3 second messenger (phospholipase C activating)",up
GO:0006267,pre-replicative complex assembly,up
GO:0040001,establishment of mitotic spindle localization,up
GO:0048015,phosphoinositide-mediated signaling,up
GO:0005516,calmodulin binding,up
GO:0051049,regulation of transport,up
GO:0045475,locomotor rhythm,up
GO:0065008,regulation of biological quality,up
GO:0008187,poly-pyrimidine tract binding,up
GO:0004221,ubiquitin thiolesterase activity,up
GO:0022618,protein-RNA complex assembly,up
GO:0048523,negative regulation of cellular process,up
GO:0016477,cell migration,up
GO:0005262,calcium channel activity,up
GO:0006928,cell motility,up
GO:0006473,protein amino acid acetylation,up
GO:0051336,regulation of hydrolase activity,up
GO:0016573,histone acetylation,up
GO:0022607,cellular component assembly,up
GO:0007613,memory,up
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",up
GO:0043566,structure-specific DNA binding,up
GO:0003697,single-stranded DNA binding,up
GO:0048519,negative regulation of biological process,up
GO:0040029,"regulation of gene expression, epigenetic",up
GO:0007626,locomotory behavior,up
GO:0022613,ribonucleoprotein complex biogenesis and assembly,up
GO:0051674,localization of cell,up
GO:0031057,negative regulation of histone modification,up
GO:0007185,transmembrane receptor protein tyrosine phosphatase signaling pathway,up
GO:0007493,endodermal cell fate determination,up
GO:0001711,endodermal cell fate commitment,up
GO:0035279,"miRNA-mediated gene silencing, mRNA cleavage",up
GO:0042362,fat-soluble vitamin biosynthetic process,up
GO:0016039,absorption of UV light,up
GO:0046856,phosphoinositide dephosphorylation,up
GO:0016119,carotene metabolic process,up
GO:0009894,regulation of catabolic process,up
GO:0006776,vitamin A metabolic process,up
GO:0046839,phospholipid dephosphorylation,up
GO:0006424,glutamyl-tRNA aminoacylation,up
GO:0006775,fat-soluble vitamin metabolic process,up
GO:0016320,endoplasmic reticulum membrane fusion,up
GO:0008583,mystery cell fate differentiation,up
GO:0043558,regulation of translation initiation in response to stress,up
GO:0043555,regulation of translation in response to stress,up
GO:0051346,negative regulation of hydrolase activity,up
GO:0001706,endoderm formation,up
GO:0030845,phospholipase C inhibition,up
GO:0051789,response to protein stimulus,up
GO:0006986,response to unfolded protein,up
GO:0006687,glycosphingolipid metabolic process,up
GO:0042176,regulation of protein catabolic process,up
GO:0006688,glycosphingolipid biosynthetic process,up
GO:0035238,vitamin A biosynthetic process,up
GO:0035067,negative regulation of histone acetylation,up
GO:0045217,intercellular junction maintenance,up
GO:0007029,endoplasmic reticulum organization and biogenesis,up
GO:0007492,endoderm development,up
GO:0016569,covalent chromatin modification,up
GO:0016570,histone modification,up
GO:0008270,zinc ion binding,up
GO:0008581,ubiquitin-specific protease 5 activity,up
GO:0046987,"N-acetyllactosamine beta-1,3-glucuronosyltransferase activity",up
GO:0042708,elastase activity,up
GO:0004246,peptidyl-dipeptidase A activity,up
GO:0017151,DEAD/H-box RNA helicase binding,up
GO:0008139,nuclear localization sequence binding,up
GO:0016316,"phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity",up
GO:0016872,intramolecular lyase activity,up
GO:0004504,peptidylglycine monooxygenase activity,up
GO:0008506,sucrose:hydrogen symporter activity,up
GO:0004809,tRNA (guanine-N2-)-methyltransferase activity,up
GO:0004080,biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity,up
GO:0003894,zeta DNA polymerase activity,up
GO:0008241,peptidyl-dipeptidase activity,up
GO:0004727,prenylated protein tyrosine phosphatase activity,up
GO:0008515,sucrose transmembrane transporter activity,up
GO:0018271,biotin-protein ligase activity,up
GO:0003938,IMP dehydrogenase activity,up
GO:0008846,endopeptidase La activity,up
GO:0004696,glycogen synthase kinase 3 activity,up
GO:0019841,retinol binding,up
GO:0005007,fibroblast growth factor receptor activity,up
GO:0004850,uridine phosphorylase activity,up
GO:0015154,disaccharide transmembrane transporter activity,up
GO:0046988,"asioloorosomucoid beta-1,3-glucuronosyltransferase activity",up
GO:0004345,glucose-6-phosphate dehydrogenase activity,up
GO:0005402,cation:sugar symporter activity,up
GO:0004598,peptidylamidoglycolate lyase activity,up
GO:0008132,pancreatic elastase activity,up
GO:0035198,miRNA binding,up
GO:0046989,"galactosyl beta-1,3 N-acetylgalactosamine beta-1,3-glucuronosyltransferase activity",up
GO:0005403,hydrogen:sugar symporter activity,up
GO:0008430,selenium binding,up
GO:0001965,G-protein alpha-subunit binding,up
GO:0009057,macromolecule catabolic process,up
GO:0032386,regulation of intracellular transport,up
GO:0042306,regulation of protein import into nucleus,up
GO:0051293,establishment of spindle localization,up
GO:0033157,regulation of intracellular protein transport,up
GO:0051653,spindle localization,up
GO:0000226,microtubule cytoskeleton organization and biogenesis,up
GO:0006323,DNA packaging,up
GO:0006325,establishment and/or maintenance of chromatin architecture,up
GO:0016441,posttranscriptional gene silencing,up
GO:0035194,RNA-mediated posttranscriptional gene silencing,up
GO:0031047,RNA-mediated gene silencing,up
GO:0000381,"regulation of alternative nuclear mRNA splicing, via spliceosome",up
GO:0018024,histone-lysine N-methyltransferase activity,up
GO:0016278,lysine N-methyltransferase activity,up
GO:0016279,protein-lysine N-methyltransferase activity,up
GO:0003779,actin binding,up
GO:0008233,peptidase activity,up
GO:0007274,neuromuscular synaptic transmission,up
GO:0007009,plasma membrane organization and biogenesis,up
GO:0050807,regulation of synapse structure,up
GO:0007612,learning,up
GO:0016287,glycerone-phosphate O-acyltransferase activity,up
GO:0042654,ecdysis-triggering hormone receptor activity,up
GO:0003878,ATP citrate synthase activity,up
GO:0019909,[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity,up
GO:0008332,low voltage-gated calcium channel activity,up
GO:0048104,establishment of body hair or bristle orientation,up
GO:0048073,regulation of eye pigmentation,up
GO:0006273,lagging strand elongation,up
GO:0006101,citrate metabolic process,up
GO:0048076,regulation of compound eye pigmentation,up
GO:0050941,negative regulation of pigment cell differentiation,up
GO:0032185,septin cytoskeleton organization and biogenesis,up
GO:0050932,regulation of pigment cell differentiation,up
GO:0035106,operant conditioning,up
GO:0048106,establishment of body bristle orientation,up
GO:0031106,septin ring organization,up
GO:0048505,regulation of timing of cell differentiation,up
GO:0050803,regulation of synapse structure and activity,up
GO:0006261,DNA-dependent DNA replication,up
GO:0046530,photoreceptor cell differentiation,up
GO:0046912,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",up
GO:0015295,solute:hydrogen symporter activity,up
GO:0008297,single-stranded DNA specific exodeoxyribonuclease activity,up
GO:0005351,sugar:hydrogen ion symporter activity,up
GO:0004711,ribosomal protein S6 kinase activity,up
GO:0004366,glycerol-3-phosphate O-acyltransferase activity,up
GO:0016933,extracellular-glycine-gated ion channel activity,up
GO:0003891,delta DNA polymerase activity,up
GO:0031202,"RNA splicing factor activity, transesterification mechanism",up
GO:0006085,acetyl-CoA biosynthetic process,up
GO:0050931,pigment cell differentiation,up
GO:0031646,positive regulation of neurological process,up
GO:0051971,positive regulation of transmission of nerve impulse,up
GO:0006272,leading strand elongation,up
GO:0007202,phospholipase C activation,up
GO:0016601,Rac protein signal transduction,up
GO:0016198,axon choice point recognition,up
GO:0016199,axon midline choice point recognition,up
GO:0050806,positive regulation of synaptic transmission,up
GO:0008302,"ring canal formation, actin assembly",up
GO:0042062,long-term strengthening of neuromuscular junction,up
GO:0007265,Ras protein signal transduction,up
GO:0051128,regulation of cellular component organization and biogenesis,up
GO:0007264,small GTPase mediated signal transduction,up
GO:0004972,N-methyl-D-aspartate selective glutamate receptor activity,up
GO:0004652,polynucleotide adenylyltransferase activity,up
